Region: 00  | Segments: 48    | Area: 510176.066
 S           | A               | B               | E           | Color
 -21.0, 202.5| -22.339, 223.961| -21.339, 245.294| -18.0, 266.5|green
 -18.0, 266.5| -15.654, 271.513| -11.987, 275.179|  -7.0, 277.5|blue
  -7.0, 277.5|  -6.500, 277.167|  -6.000, 276.833|  -5.5, 276.5|pink
  -5.5, 276.5|  -1.936, 263.345|   0.731, 250.012|   2.5, 236.5|red
   2.5, 236.5|   8.130, 237.482|  13.130, 239.815|  17.5, 243.5|orange
  17.5, 243.5|  17.698, 257.717|  19.531, 271.717|  23.0, 285.5|yellow
  23.0, 285.5|  23.519, 286.516|  24.353, 287.182|  25.5, 287.5|green
  25.5, 287.5|  31.973, 288.428|  38.306, 289.928|  44.5, 292.0|blue
  44.5, 292.0|  46.500, 292.667|  48.500, 292.667|  50.5, 292.0|pink
  50.5, 292.0|  51.622, 288.582|  51.289, 285.249|  49.5, 282.0|red
  49.5, 282.0|  51.617, 274.592|  54.450, 267.426|  58.0, 260.5|orange
  58.0, 260.5|  59.333, 259.833|  60.667, 259.167|  62.0, 258.5|yellow
  62.0, 258.5|  67.544, 260.071|  73.044, 261.737|  78.5, 263.5|green
  78.5, 263.5|  77.182, 272.273|  74.848, 280.773|  71.5, 289.0|blue
  71.5, 289.0|  71.613, 290.280|  72.280, 291.113|  73.5, 291.5|pink
  73.5, 291.5|  84.246, 294.883|  95.246, 297.049| 106.5, 298.0|red
 106.5, 298.0| 120.496, 298.500| 134.496, 298.667| 148.5, 298.5|orange
 148.5, 298.5| 149.240, 290.188| 149.573, 281.854| 149.5, 273.5|yellow
 149.5, 273.5| 157.860, 273.169| 166.193, 273.502| 174.5, 274.5|green
 174.5, 274.5| 171.575, 280.608| 169.242, 286.941| 167.5, 293.5|blue
 167.5, 293.5| 167.590, 295.425| 168.590, 296.592| 170.5, 297.0|pink
 170.5, 297.0| 193.781, 298.459| 217.114, 298.959| 240.5, 298.5|red
 240.5, 298.5| 240.500, 288.833| 240.500, 279.167| 240.5, 269.5|orange
 240.5, 269.5| 246.833, 269.500| 253.167, 269.500| 259.5, 269.5|yellow
 259.5, 269.5| 259.500, 279.167| 259.500, 288.833| 259.5, 298.5|green
 259.5, 298.5| 273.504, 298.667| 287.504, 298.500| 301.5, 298.0|blue
 301.5, 298.0| 324.134, 294.632| 346.300, 289.466| 368.0, 282.5|pink
 368.0, 282.5| 367.809, 270.686| 366.309, 259.019| 363.5, 247.5|red
 363.5, 247.5| 370.355, 245.105| 377.355, 243.105| 384.5, 241.5|orange
 384.5, 241.5| 385.530, 251.294| 387.364, 260.961| 390.0, 270.5|yellow
 390.0, 270.5| 390.725, 271.059| 391.558, 271.392| 392.5, 271.5|green
