Region: 00  | Segments: 48    | Area: 510176.066
S           | A               | B               | E           | Color
119.5,358.0 | 121.818,359.993 | 124.484,00361.2 | 127.5,361.5 | blue
127.5,361.5 | 128.052,363.331 | 128.052,00365.0 | 127.5,366.5 | pink
127.5,366.5 | 110.136,371.232 | 098.970,00364.9 | 094.0,347.5 | red
094.0,347.5 | 093.101,340.027 | 092.601,00332.5 | 092.5,325.0 | orange
092.5,325.0 | 093.246,309.799 | 094.412,00294.6 | 096.0,279.5 | yellow
096.0,279.5 | 107.325,273.088 | 118.825,00267.1 | 130.5,261.5 | green


Region: 13  | Segments: 12    | Area: 3751.000
S           | A               | B               | E           | Color
156.5,282.5 | 188.599,281.922 | 217.265,00291.4 | 242.5,311.0 | black
242.5,311.0 | 245.303,311.755 | 247.970,00311.4 | 250.5,310.0 | red
250.5,310.0 | 257.892,302.787 | 266.558,00299.3 | 276.5,299.5 | orange
276.5,299.5 | 278.182,308.086 | 276.516,00316.1 | 271.5,323.5 | yellow
271.5,323.5 | 259.728,330.110 | 247.062,00333.3 | 233.5,333.0 | green
233.5,333.0 | 226.833,333.667 | 220.167,00333.7 | 213.5,333.0 | blue
213.5,333.0 | 212.234,332.691 | 211.067,00332.2 | 210.0,331.5 | pink
210.0,331.5 | 204.048,307.264 | 188.881,00298.4 | 164.5,305.0 | red
164.5,305.0 | 149.842,307.565 | 135.175,00310.1 | 120.5,312.5 | orange
120.5,312.5 | 119.833,312.167 | 119.167,00311.8 | 118.5,311.5 | yellow
118.5,311.5 | 121.372,304.247 | 125.372,00297.7 | 130.5,292.0 | green
130.5,292.0 | 138.584,286.771 | 147.251,00283.6 | 156.5,282.5 | blue


Region: 14  | Segments: 23    | Area: 14502.532
S           | A               | B               | E           | Color
815.5,292.5 | 819.230,292.854 | 822.563,00294.2 | 825.5,296.5 | black
825.5,296.5 | 829.837,306.672 | 829.671,00317.0 | 825.0,327.5 | red
825.0,327.5 | 821.941,334.559 | 817.108,00340.1 | 810.5,344.0 | orange
810.5,344.0 | 800.227,346.536 | 790.227,00349.9 | 780.5,354.0 | yellow
780.5,354.0 | 763.678,365.746 | 745.678,00375.4 | 726.5,383.0 | green
726.5,383.0 | 721.672,386.581 | 716.672,00389.9 | 711.5,393.0 | blue
711.5,393.0 | 695.481,396.537 | 679.481,00400.2 | 663.5,404.0 | pink
663.5,404.0 | 634.242,414.086 | 604.575,00422.8 | 574.5,430.0 | red
574.5,430.0 | 568.051,432.391 | 561.718,00435.1 | 555.5,438.0 | orange
555.5,438.0 | 526.136,444.206 | 496.803,00450.5 | 467.5,457.0 | yellow
467.5,457.0 | 452.577,458.998 | 437.577,00460.0 | 422.5,460.0 | green
422.5,460.0 | 406.072,463.011 | 389.572,00464.8 | 373.0,465.5 | blue
373.0,465.5 | 347.483,464.115 | 321.983,00461.9 | 296.5,459.0 | pink
296.5,459.0 | 286.227,456.464 | 276.227,00453.1 | 266.5,449.0 | red
266.5,449.0 | 263.240,448.216 | 260.073,00448.4 | 257.0,449.5 | orange
257.0,449.5 | 237.360,441.680 | 218.693,00432.0 | 201.0,420.5 | yellow
201.0,420.5 | 195.662,409.842 | 194.496,00398.8 | 197.5,387.5 | green
197.5,387.5 | 209.750,400.580 | 224.083,00410.7 | 240.5,418.0 | blue
240.5,418.0 | 295.735,440.073 | 353.069,00448.7 | 412.5,444.0 | pink
412.5,444.0 | 476.393,439.527 | 538.393,00426.2 | 598.5,404.0 | red
598.5,404.0 | 649.399,385.050 | 699.732,00364.7 | 749.5,343.0 | orange
749.5,343.0 | 769.102,335.278 | 788.602,00327.4 | 808.0,319.5 | yellow
808.0,319.5 | 810.041,310.330 | 812.541,00301.3 | 815.5,292.5 | green


Region: 15  | Segments: 10    | Area: 1588.256
S           | A               | B               | E           | Color
949.5,311.5 | 951.229,312.117 | 952.729,00313.1 | 954.0,314.5 | black
954.0,314.5 | 955.356,320.666 | 956.522,00326.8 | 957.5,333.0 | red
957.5,333.0 | 954.701,356.627 | 950.868,00380.1 | 946.0,403.5 | orange
946.0,403.5 | 934.077,414.411 | 920.410,00422.4 | 905.0,427.5 | yellow
905.0,427.5 | 903.644,426.620 | 902.144,00426.3 | 900.5,426.5 | green
900.5,426.5 | 899.629,423.938 | 899.629,00421.3 | 900.5,418.5 | blue
900.5,418.5 | 911.815,414.913 | 920.982,00408.2 | 928.0,398.5 | pink
928.0,398.5 | 936.488,385.042 | 941.821,00370.4 | 944.0,354.5 | red
944.0,354.5 | 945.475,340.536 | 946.309,00326.5 | 946.5,312.5 | orange
